Issue Type,Summary,Epic Name,Epic Link,Labels,Description
Epic,Foundation,Foundation,,foundation,"Stand up the Laravel app on the existing DB/infra so feature epics can build on a tested base. App/web layer only; ingestion & indexing are existing PHP standalone containers. Full spec: docs/epics/EPIC-FOUNDATION.md"
Story,FND-1 Project scaffold & infrastructure connections,,Foundation,foundation,"Laravel 11 / PHP 8.3 + Blade/Livewire/Filament, no React. AC: TZ=America/Vancouver (test-guarded); connect existing PostgreSQL (no migrations for existing tables); Redis for cache/queue/session; OpenSearch client + health check for jobs_en/jobs_fr. Docs: copilot-instructions; data-model.md §0,§5; architecture.md §9."
Story,FND-2 Core Eloquent models (existing-DB mapping),,Foundation,foundation,"Map Eloquent to existing PascalCase schema. AC: models for Job/JobSeeker/SavedJob/JobAlert/JobSource/Location/Region/Industry/NocCode(2021)/SystemSetting/AdminUser/JobSeekerFlags with $table,$timestamps=false,keys,casts; shared soft-delete trait (IsDeleted+DateDeleted); composite-PK stats tables NOT modeled; golden-read tests vs real rows. Docs: data-model.md §1-3,§6. Depends: FND-1."
Story,FND-3 Queue foundation: BaseJob & logging,,Foundation,foundation,"BaseJob for the app's own background work (alert emails, sitemap, view-count). AC: BaseJob with $tries/$backoff + idempotency (ShouldBeUnique where needed); stdout structured logging; Redis queues (notifications, default); idempotency test. Feed import/index jobs out of scope. Docs: copilot-instructions; architecture.md §9. Depends: FND-1."
Story,FND-4 Base Blade layout & accessible component library,,Foundation,foundation;a11y,"Server-rendered layout + internal accessible component set. AC: responsive base layout; components (button, labelled field, alert, pagination) meeting WCAG 2.1 AA; Livewire + Alpine demonstrated (data vs view-state); axe/pa11y in CI. Docs: copilot-instructions (Accessibility); ADR-002. Depends: FND-1."
Story,FND-5 Job-seeker session auth + legacy-hash verifier,,Foundation,foundation;auth,"Session auth on AspNetUsers + Identity-compatible hasher. AC: verify Identity v2/v3 PBKDF2 and rehash to bcrypt/argon2 on login; unrecognized/MD5 -> force reset (no MD5 impl); register + email verify (VerificationGuid); email-only reset; maintain Normalized* ; feature tests. Docs: ADR-003; data-model.md. Depends: FND-1,FND-2."
Story,FND-6 Admin auth: Keycloak OIDC to Filament,,Foundation,foundation;auth,"Keycloak OIDC login for the Filament panel mapped to AdminUsers roles. AC: Socialite/OIDC auth (secrets from Secrets Manager); Keycloak identity -> AdminUsers row; roles (SuperAdmin/Admin/Reporting) drive Filament policies; impersonation scaffold writes ImpersonationLog; gating tests. Docs: ADR-003; data-model.md. Depends: FND-1,FND-2."
Story,FND-7 Search foundation: OpenSearch client + JobSearchQuery + JobSearchFilters,,Foundation,foundation;search,"Search building blocks. AC: JobSearchFilters value object (all fields per contracts.md §1, exact PascalCase, deserialize v0/1, reject unknown); JobSearchQuery builds array body (no string concat), base ExpireDate>=now/d filter, 11 sorts, paging; result DTO; JSON-diff harness vs reference bodies; keyword parser + BRD tests. Docs: contracts.md §1-2; architecture.md §7. Depends: FND-1."
Story,FND-8 CI/CD pipeline & k8s CronJob to artisan wiring,,Foundation,foundation;devops,"GitHub Actions to EKS + scheduled-job trigger. AC: CI (build, php artisan test, a11y check, image push, deploy); separate web/queue-worker/cron workloads; k8s CronJob -> php artisan -> Redis queue proven with a no-op command; Secrets Manager; existing importer/indexer containers + pg_cron untouched. Docs: ADR-004; architecture.md §9. Depends: FND-1."
Epic,Public Job Search,Public Job Search,,search,"Public SEO-critical job search: server-rendered results, faceted filters, job detail (incl. external descriptions), URLs, map, and the Drupal API. Full spec: docs/epics/EPIC-SEARCH.md"
Story,SRCH-1 Search results page (core + sort & paging),,Public Job Search,search,"Server-rendered results page. AC: results in initial HTML; keyword + search-by (all/title/employer/jobId); base ExpireDate>=now/d filter + track_total_hits; 11 sort orders + secondary sort; pagination; results link to path-based detail URL; results ARIA live region; component test. Docs: contracts.md §1; architecture.md §5.3,§7. Depends: FND-7,FND-4."
